prov,fecha,casos_tot,dup
Chubut,2020-03-11,0,NA
Cordoba,2020-03-11,0,NA
Corrientes,2020-03-11,0,NA
Entre_Rios,2020-03-11,0,NA
Formosa,2020-03-11,0,NA
Jujuy,2020-03-11,0,NA
La_Pampa,2020-03-11,0,NA
La_Rioja,2020-03-11,0,NA
Mendoza,2020-03-11,0,NA
Misiones,2020-03-11,0,NA
Neuquen,2020-03-11,0,NA
Rio_Negro,2020-03-11,1,NA
Salta,2020-03-11,0,NA
San_Juan,2020-03-11,0,NA
San_Luis,2020-03-11,1,NA
Santa_Cruz,2020-03-11,0,NA
Santa_Fe,2020-03-11,0,NA
Santiago_del_Estero,2020-03-11,0,NA
Tierra_del_fuego,2020-03-11,0,NA
Tucuman,2020-03-11,0,NA
Buenos_Aires,2020-03-12,3,2.103099178571526
CABA,2020-03-12,6,2.049513599153418
Catamarca,2020-03-12,0,NA
Chaco,2020-03-12,2,100
Chubut,2020-03-12,0,NA
Cordoba,2020-03-12,0,NA
Corrientes,2020-03-12,0,NA
Entre_Rios,2020-03-12,0,NA
Formosa,2020-03-12,0,NA
Jujuy,2020-03-12,0,NA
La_Pampa,2020-03-12,0,NA
La_Rioja,2020-03-12,0,NA
Mendoza,2020-03-12,0,NA
Misiones,2020-03-12,0,NA
Neuquen,2020-03-12,0,NA
Rio_Negro,2020-03-12,1,100
Salta,2020-03-12,0,NA
San_Juan,2020-03-12,0,NA
San_Luis,2020-03-12,1,100
Santa_Cruz,2020-03-12,0,NA
Santa_Fe,2020-03-12,0,NA
Santiago_del_Estero,2020-03-12,0,NA
Tierra_del_fuego,2020-03-12,0,NA
Tucuman,2020-03-12,0,NA
Buenos_Aires,2020-03-13,4,2.346190672712467
CABA,2020-03-13,8,2.9260474542542934
Catamarca,2020-03-13,0,NA
Chaco,2020-03-13,2,100
Chubut,2020-03-13,0,NA
Cordoba,2020-03-13,0,NA
Corrientes,2020-03-13,0,NA
Entre_Rios,2020-03-13,0,NA
Formosa,2020-03-13,0,NA
Jujuy,2020-03-13,0,NA
La_Pampa,2020-03-13,0,NA
La_Rioja,2020-03-13,0,NA
Mendoza,2020-03-13,0,NA
Misiones,2020-03-13,0,NA
Neuquen,2020-03-13,0,NA
Rio_Negro,2020-03-13,1,100
Salta,2020-03-13,0,NA
San_Juan,2020-03-13,0,NA
San_Luis,2020-03-13,1,100
Santa_Cruz,2020-03-13,0,NA
Santa_Fe,2020-03-13,0,NA
Santiago_del_Estero,2020-03-13,0,NA
Tierra_del_fuego,2020-03-13,0,NA
Tucuman,2020-03-13,0,NA
Buenos_Aires,2020-03-14,4,2.6452620874275516
CABA,2020-03-14,8,4.302299934903002
Catamarca,2020-03-14,0,NA
Chaco,2020-03-14,2,100
Chubut,2020-03-14,0,NA
Cordoba,2020-03-14,0,NA
Corrientes,2020-03-14,0,NA
Entre_Rios,2020-03-14,0,NA
Formosa,2020-03-14,0,NA
Jujuy,2020-03-14,0,NA
La_Pampa,2020-03-14,0,NA
La_Rioja,2020-03-14,0,NA
Mendoza,2020-03-14,0,NA
Misiones,2020-03-14,0,NA
Neuquen,2020-03-14,0,NA
Rio_Negro,2020-03-14,1,100
Salta,2020-03-14,0,NA
San_Juan,2020-03-14,0,NA
San_Luis,2020-03-14,1,100
Santa_Cruz,2020-03-14,0,NA
Santa_Fe,2020-03-14,0,NA
Santiago_del_Estero,2020-03-14,0,NA
Tierra_del_fuego,2020-03-14,0,NA
Tucuman,2020-03-14,0,NA
Buenos_Aires,2020-03-15,5,3.373696432814205
CABA,2020-03-15,14,4.105488736817564
Catamarca,2020-03-15,0,NA
Chaco,2020-03-15,4,100
Chubut,2020-03-15,0,NA
Cordoba,2020-03-15,0,NA
Corrientes,2020-03-15,0,NA
Entre_Rios,2020-03-15,0,NA
Formosa,2020-03-15,0,NA
Jujuy,2020-03-15,0,NA
La_Pampa,2020-03-15,0,NA
La_Rioja,2020-03-15,0,NA
Mendoza,2020-03-15,0,NA
Misiones,2020-03-15,0,NA
Neuquen,2020-03-15,0,NA
Rio_Negro,2020-03-15,1,100
Salta,2020-03-15,0,NA
San_Juan,2020-03-15,0,NA
San_Luis,2020-03-15,1,100
Santa_Cruz,2020-03-15,0,NA
Santa_Fe,2020-03-15,0,NA
Santiago_del_Estero,2020-03-15,0,NA
Tierra_del_fuego,2020-03-15,2,NA
Tucuman,2020-03-15,0,NA
Buenos_Aires,2020-03-16,6,4.2144199392957375
CABA,2020-03-16,19,3.217154185627632
Catamarca,2020-03-16,0,NA
Chaco,2020-03-16,7,100
Chubut,2020-03-16,0,NA
Cordoba,2020-03-16,0,NA
Corrientes,2020-03-16,0,NA
Entre_Rios,2020-03-16,0,NA
Formosa,2020-03-16,0,NA
Jujuy,2020-03-16,0,NA
La_Pampa,2020-03-16,0,NA
La_Rioja,2020-03-16,0,NA
Mendoza,2020-03-16,0,NA
Misiones,2020-03-16,0,NA
Neuquen,2020-03-16,0,NA
Rio_Negro,2020-03-16,1,100
Salta,2020-03-16,0,NA
San_Juan,2020-03-16,0,NA
San_Luis,2020-03-16,1,100
Santa_Cruz,2020-03-16,0,NA
