duplicacion,desdeY,hastaY,desdeX,hastaX
"20,1",160533.1620686771,197359.95410216987,2020-07-16,2020-07-22
"3,2",21.9,687.1,2020-03-08,2020-03-24
"19,9",3237.3,9195.7,2020-04-12,2020-05-12
"15,2",24342.7,87272.4,2020-06-01,2020-06-29
