fecha,casos_tot,casos_recuperados,casos_fallecidos,casos_activos_Arg,casos_recup_fall,casos_UTI_Arg,camas_UTIARG
2020-06-22,44931,13576,1049,30306,14625,397,11517
2020-06-23,47216,13816,1085,32315,14901,414,11517
2020-06-24,49851,14788,1124,33939,15912,433,11517
2020-06-25,52457,18416,1167,32874,19583,457,11517
2020-06-26,55343,19143,1192,35008,20335,472,11517
2020-06-27,57744,20134,1217,36393,21351,507,11517
2020-06-28,59933,21138,1245,37550,22383,523,11517
2020-06-29,62268,22028,1283,38957,23311,535,11517
2020-06-30,64530,23040,1310,40180,24350,555,11517
2020-07-01,67197,24186,1363,41648,25549,576,11517
2020-07-02,69941,25224,1403,43314,26627,594,11517
2020-07-03,72786,25930,1453,45403,27383,620,11517
2020-07-04,75376,27597,1490,46289,29087,637,11517
2020-07-05,77815,28531,1523,47761,30054,658,11517
2020-07-06,80447,30095,1602,48750,31697,676,11517
2020-07-07,83426,36502,1654,45270,38156,688,11517
2020-07-08,87030,38313,1707,47010,40020,671,11517
2020-07-09,90693,38984,1749,49960,40733,662,11517
2020-07-10,94060,41408,1787,50865,43195,686,11517
2020-07-11,97509,42694,1818,52997,44512,NA,11517
2020-07-12,100166,44173,1859,54134,46032,735,11517
2020-07-13,103265,45467,1926,55872,47393,752,11517
2020-07-14,106910,47298,1987,57625,49285,772,11517
2020-07-15,111160,49120,2072,59968,51192,783,11517
2020-07-16,114783,49780,2133,62870,51913,793,11517
2020-07-17,119301,52607,2204,64490,54811,823,11517
2020-07-18,122524,54105,2246,66173,56351,824,11517
2020-07-19,126755,55913,2281,68561,58194,842,11517
2020-07-20,130774,NA,2373,NA,NA,853,11517
2020-07-21,136118,60531,2506,73081,63037,890,11517
2020-07-22,141900,62815,2617,76468,65432,902,11517
